threshold,val_accuracy,val_macro_f1,val_replaced_predictions
0.5,0.9761243753470294,0.9758117034848466,950
0.51,0.9755691282620766,0.9752727316084416,948
0.52,0.9755691282620766,0.9752727316084416,944
0.53,0.9755691282620766,0.9752727316084416,937
0.54,0.9755691282620766,0.9752727316084416,934
0.55,0.9755691282620766,0.9752670913920584,930
0.56,0.9755691282620766,0.9752670913920584,930
0.5700000000000001,0.9755691282620766,0.9752670913920584,929
0.58,0.9755691282620766,0.9752670913920584,929
0.59,0.9750138811771238,0.9747289623603721,928
0.6,0.9750138811771238,0.9747289623603721,925
0.61,0.9750138811771238,0.9747289623603721,925
0.62,0.9739033870072182,0.9736526479607367,922
0.63,0.9739033870072182,0.9736526479607367,922
0.64,0.9739033870072182,0.9736526479607367,922
0.65,0.9722376457523598,0.9720379081089332,917
0.66,0.9700166574125486,0.9698840640965324,912
0.67,0.9655746807329262,0.9655713948784562,902
0.6799999999999999,0.9644641865630206,0.9644917921989262,899
0.69,0.9644641865630206,0.9644917921989262,898
0.7,0.9644641865630206,0.9644917921989262,897
0.71,0.9644641865630206,0.9644917921989262,896
0.72,0.9644641865630206,0.9644917921989262,896
0.73,0.9644641865630206,0.9644917921989262,890
0.74,0.9644641865630206,0.9644917921989262,888
0.75,0.9644641865630206,0.9644917921989262,877
0.76,0.9644641865630206,0.9644917921989262,863
0.77,0.9644641865630206,0.9644917921989262,853
0.78,0.9644641865630206,0.9644917921989262,843
0.79,0.9644641865630206,0.9644917921989262,831
0.8,0.9644641865630206,0.9644917921989262,822
0.81,0.9644641865630206,0.9644917921989262,804
0.8200000000000001,0.9644641865630206,0.9644917921989262,795
0.8300000000000001,0.9644641865630206,0.9644917921989262,791
0.8400000000000001,0.9644641865630206,0.9644917921989262,788
0.8500000000000001,0.9644641865630206,0.9644917921989262,785
0.86,0.9644641865630206,0.9644917921989262,772
0.87,0.9644641865630206,0.9644917921989262,734
0.88,0.9644641865630206,0.9644917921989262,696
0.89,0.9644641865630206,0.9644917921989262,672
0.9,0.9644641865630206,0.9644917921989262,641
0.91,0.9644641865630206,0.9644917921989262,617
0.9199999999999999,0.9644641865630206,0.9644917921989262,606
0.9299999999999999,0.9644641865630206,0.9644917921989262,588
0.94,0.9644641865630206,0.9644917921989262,581
0.95,0.9644641865630206,0.9644917921989262,566
0.96,0.9644641865630206,0.9644917921989262,533
0.97,0.9644641865630206,0.9644917921989262,508
0.98,0.9644641865630206,0.9644917921989262,447
0.99,0.9644641865630206,0.9644917921989262,398
