granularity,source_file,pocket_side,true_label,support,correct,accuracy,dominant_prediction,prediction_counts
source_file,laying/30s - l - 1.txt,left,LAYING,22,22,1.0,LAYING,"{""LAYING"": 22}"
source_file,sitting/30s - l - 1.txt,left,SITTING,22,0,0.0,LAYING,"{""LAYING"": 22}"
source_file,standing/30s - l - 1.txt,left,STANDING,22,22,1.0,STANDING,"{""STANDING"": 22}"
source_file,walk_down/5s - r - 3.txt,right,WALKING_DOWNSTAIRS,3,0,0.0,WALKING_UPSTAIRS,"{""WALKING_UPSTAIRS"": 3}"
source_file,walk_down/5s - r - 5.txt,right,WALKING_DOWNSTAIRS,6,0,0.0,WALKING_UPSTAIRS,"{""WALKING_UPSTAIRS"": 6}"
source_file,walk_up/5s - r - 2.txt,right,WALKING_UPSTAIRS,3,3,1.0,WALKING_UPSTAIRS,"{""WALKING_UPSTAIRS"": 3}"
source_file,walk_up/5s - r - 3.txt,right,WALKING_UPSTAIRS,3,3,1.0,WALKING_UPSTAIRS,"{""WALKING_UPSTAIRS"": 3}"
source_file,walking/30s - r - 1.txt,right,WALKING,22,15,0.6818181818181818,WALKING,"{""WALKING"": 15, ""WALKING_DOWNSTAIRS"": 1, ""WALKING_UPSTAIRS"": 6}"
pocket_side,,left,,66,44,0.6666666666666666,LAYING,"{""LAYING"": 44, ""STANDING"": 22}"
pocket_side,,right,,37,21,0.5675675675675675,WALKING_UPSTAIRS,"{""WALKING"": 15, ""WALKING_DOWNSTAIRS"": 1, ""WALKING_UPSTAIRS"": 21}"
class_pocket_side,,left,LAYING,22,22,1.0,LAYING,"{""LAYING"": 22}"
class_pocket_side,,left,SITTING,22,0,0.0,LAYING,"{""LAYING"": 22}"
class_pocket_side,,left,STANDING,22,22,1.0,STANDING,"{""STANDING"": 22}"
class_pocket_side,,right,WALKING,22,15,0.6818181818181818,WALKING,"{""WALKING"": 15, ""WALKING_DOWNSTAIRS"": 1, ""WALKING_UPSTAIRS"": 6}"
class_pocket_side,,right,WALKING_DOWNSTAIRS,9,0,0.0,WALKING_UPSTAIRS,"{""WALKING_UPSTAIRS"": 9}"
class_pocket_side,,right,WALKING_UPSTAIRS,6,6,1.0,WALKING_UPSTAIRS,"{""WALKING_UPSTAIRS"": 6}"
