epoch,accuracy,loss,val_accuracy,val_loss
1,0.6154116988182068,0.2301683872938156,0.41747573018074036,1.1216142177581787
2,0.7915200591087341,0.09789498895406723,0.6019417643547058,0.8205524682998657
3,0.8335679173469543,0.06636840850114822,0.6116504669189453,0.5985409617424011
4,0.8654116988182068,0.049778420478105545,0.6310679316520691,0.5909979343414307
5,0.884412407875061,0.03899438679218292,0.6019417643547058,0.665550172328949
6,0.8940886855125427,0.031832724809646606,0.5728155374526978,0.7344235181808472
7,0.8998944163322449,0.026921488344669342,0.582524299621582,0.7800946235656738
8,0.90728360414505,0.023520607501268387,0.5728155374526978,0.8380686640739441
9,0.9141449928283691,0.020972538739442825,0.5728155374526978,0.9018698334693909
10,0.9180154800415039,0.01908329874277115,0.5728155374526978,0.9501351714134216
11,0.9227656722068787,0.017443349584937096,0.5728155374526978,1.0003101825714111
12,0.9266361594200134,0.016167515888810158,0.5631067752838135,1.0605907440185547
